,Time [s],Vitesse [m/s],Couple pédale [Nm],I [A]
192,1.92,1.8863768272534762,4.904239518301824,5.581911206245422
193,1.93,1.885325482496456,4.386186599731449,5.664997696876526
194,1.94,1.8842240944651254,3.799058709825788,5.471129059791564
195,1.95,1.882983675993505,3.4191523279462537,4.894558548927307
196,1.96,1.881524516553899,2.7629511696951727,5.174031853675843
197,1.97,1.8800517762843507,2.1758249827793663,4.8165074586868295
198,1.98,1.878393326605304,1.6577720642089844,5.277260899543762
199,1.99,1.8767928685887802,2.1758249827793663,5.783333420753479
200,2.0,1.8754113532362586,2.1758249827793663,5.2646719217300415
201,2.0100000000000002,1.8738819449230202,1.6923086983816962,4.8165074586868295
202,2.02,1.8721557435957799,1.5886970928737094,5.491271615028381
203,2.0300000000000002,1.8706079002698488,2.1412883486066545,4.909664988517762
204,2.04,1.8689731569107322,2.1758249827793663,4.051103234291077
205,2.05,1.8670983943002952,2.6938779013497487,4.670476078987122
206,2.06,1.8654750046544124,3.384615693773542,4.806436181068421
207,2.07,1.8639894854486803,4.386186599731449,4.385967373847961
208,2.08,1.862527232181566,4.973312786647251,3.9554275274276733
209,2.09,1.8610261560393055,5.49136570521763,3.978087544441223
210,2.1,1.8596058834065894,6.492934908185687,3.655811905860901
211,2.11,1.8582369176788385,6.56200817653111,3.6860255002975464
212,2.12,1.8568867453662035,7.149137769426618,4.730902791023254
213,2.13,1.8559192744011135,7.0800645010811945,3.832056403160095
214,2.14,1.8546853298877914,7.1146011352539,3.660847544670105
215,2.15,1.8534076667793213,6.596548216683524,3.957945227622986
216,2.16,1.8521411549482794,7.667190687997,3.0540633201599126
217,2.17,1.8507696114635424,8.323390143258232,3.263038754463196
218,2.18,1.8495518119272474,8.219780240740102,2.7896969318389893
219,2.19,1.8481842314126007,8.77236979348319,3.17743456363678
220,2.2,1.8470066674961128,8.77236979348319,3.003707766532898
221,2.21,1.8457797196870058,8.737833159310478,2.5630970001220703
222,2.22,1.8444222122000016,8.77236979348319,2.8778188228607178
223,2.23,1.8431598499331232,8.357926777430944,2.6210057735443115
224,2.24,1.841765176870347,8.77236979348319,2.9130678176879883
225,2.25,1.8405134551095612,8.323390143258232,3.4216588735580453
226,2.2600000000000002,1.8393431733550836,7.667190687997,2.7091280221939087
227,2.27,1.8378758193526976,6.769231387547084,2.6688435077667236
228,2.2800000000000002,1.836268990021983,6.596548216683524,2.777107954025269
229,2.29,1.8346687686863612,6.00942032677787,2.2307503223419194
230,2.3000000000000003,1.8328289126619868,6.0784935951232875,2.0419170260429382
231,2.31,1.830945366131867,5.49136570521763,2.3591569662094116
232,2.32,1.8290689877889221,4.973312786647251,2.5026702880859375
233,2.33,1.8271600077735053,4.317111628396167,2.0318459272384644
234,2.34,1.8250231725566708,4.006280217851915,1.9512771368026736
235,2.35,1.8228193710914662,3.902668612343928,1.8782616257667544
236,2.36,1.8205803786369215,3.7645220756530726,1.5635394454002383
237,2.37,1.818232210123985,3.281005791255406,1.7171238064765932
238,2.38,1.8158593522811233,3.281005791255406,1.7045350074768069
239,2.39,1.8134834061080851,2.7629511696951727,1.7548905014991762
240,2.4,1.8110483485472961,2.728414535522461,1.3797417581081393
241,2.41,1.8085016936244196,3.211930819920131,1.966383755207062
242,2.42,1.8061922701673974,3.3155424254281183,1.6516616344451907
243,2.43,1.803808222638828,3.833595343998497,1.5131839215755465
244,2.44,1.8014591284765618,3.799058709825788,1.5484327971935274
245,2.45,1.7991156749940538,3.833595343998497,1.4779350459575655
246,2.46,1.796757515270392,3.799058709825788,0.8711507916450503
247,2.47,1.7942215601319857,3.799058709825788,0.0
248,2.48,1.7914372481863534,3.833595343998497,1.004592999815941
249,2.49,1.788945493255253,3.281005791255406,1.1481062788516285
250,2.5,1.7864163347009705,3.3155424254281183,1.004592999815941
251,2.5100000000000002,1.783851648120107,2.7629511696951727,1.4779350459575655
252,2.52,1.7813438100915893,2.1758249827793663,1.500595033168793
253,2.5300000000000002,1.7787591085694359,2.1412883486066545,0.8233130574226382
254,2.54,1.775976517971085,1.6923086983816962,1.10782184638083
255,2.5500000000000003,1.7732116719175324,1.6232337270464217,1.3822595179080965
256,2.56,1.7705159612412371,1.6232337270464217,1.3167973309755328
257,2.57,1.767802124735249,1.6577720642089844,0.6621753573417666
258,2.58,1.764906768964211,2.1412883486066545,1.5534683465957644
259,2.59,1.7623357625212537,3.211930819920131,1.2009795978665354
260,2.6,1.7598175448616562,3.799058709825788,1.2840662300586703
261,2.61,1.7574074812707414,4.904239518301824,1.0725729726254942
262,2.62,1.7550953904496833,6.00942032677787,0.9718618988990786
263,2.63,1.7529129034568045,6.907377924237933,1.508148401975632
264,2.64,1.7510123885116546,7.736263956342424,1.2337106913328173
265,2.65,1.7491522823355385,8.323390143258232,0.6772820055484774
266,2.66,1.7472174702986525,9.324962752205986,1.681874990463257
267,2.67,1.7457131812327427,9.912088939121793,1.3092439919710162
268,2.68,1.7441866236844799,10.430141857692174,0.8233130574226382
269,2.69,1.7425955634056165,11.017268044607988,1.9588304758071902
270,2.7,1.741413152785911,11.017268044607988,2.160252571105957
271,2.71,1.7402885447099947,11.535320963178362,2.3692281246185303
272,2.72,1.7392978924823228,12.709576742989677,3.698614239692689
273,2.73,1.7388550279672654,13.193093027387347,5.330134034156799
274,2.74,1.738947480619365,13.193093027387347,6.407742142677307
275,2.75,1.7393478014911876,13.193093027387347,6.815621972084045
276,2.7600000000000002,1.7398645736740825,13.193093027387347,6.191213250160217
277,2.77,1.740202832628103,12.709576742989677,6.63937771320343
278,2.7800000000000002,1.7405999923325888,12.675040108816965,6.186177372932434
